"Measure.ID","Score","Score_numeric"
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","152",152
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","49",49
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","95",95
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","39",39
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","44",44
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","50",50
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","91",91
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","52",52
"ED_2_Strata_1","189",189
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","161",161
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","45",45
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","30",30
"ED_2_Strata_1","93",93
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","62",62
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","72",72
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","81",81
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","20",20
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","32",32
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","132",132
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","44",44
"ED_2_Strata_1","59",59
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","42",42
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","160",160
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","115",115
"ED_2_Strata_1","107",107
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","130",130
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","77",77
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","201",201
"ED_2_Strata_1","185",185
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","101",101
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","457",457
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","110",110
"ED_2_Strata_1","122",122
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","102",102
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","167",167
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","111",111
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","163",163
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","281",281
"ED_2_Strata_1","154",154
"ED_2_Strata_1","76",76
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","110",110
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","120",120
"ED_2_Strata_1","246",246
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","26",26
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","54",54
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","90",90
"ED_2_Strata_1","83",83
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","128",128
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","49",49
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","215",215
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","14",14
"ED_2_Strata_1","120",120
"ED_2_Strata_1","179",179
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","195",195
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","103",103
"ED_2_Strata_1","148",148
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","132",132
"ED_2_Strata_1","69",69
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","76",76
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","51",51
"ED_2_Strata_1","36",36
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","78",78
"ED_2_Strata_1","167",167
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","48",48
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","196",196
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","182",182
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","30",30
"ED_2_Strata_1","44",44
"ED_2_Strata_1","46",46
"ED_2_Strata_1","34",34
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","43",43
"ED_2_Strata_1","48",48
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","10",10
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","41",41
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","66",66
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1","15",15
"ED_2_Strata_1","48",48
"ED_2_Strata_1","65",65
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
"ED_2_Strata_1",NA,NA
