"Measure.ID","Score","Score_numeric"
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19","0.2",0.2
"HCP_COVID_19","0.5",0.5
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.8",0.8
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19","9.4",9.4
"HCP_COVID_19","1.8",1.8
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","2.5",2.5
"HCP_COVID_19","0.8",0.8
"HCP_COVID_19","0.4",0.4
"HCP_COVID_19","1.8",1.8
"HCP_COVID_19",NA,NA
"HCP_COVID_19","3.9",3.9
"HCP_COVID_19","0.2",0.2
"HCP_COVID_19","1.2",1.2
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","2.5",2.5
"HCP_COVID_19","0.2",0.2
"HCP_COVID_19",NA,NA
"HCP_COVID_19","1.7",1.7
"HCP_COVID_19",NA,NA
"HCP_COVID_19","30.8",30.8
"HCP_COVID_19",NA,NA
"HCP_COVID_19","3.4",3.4
"HCP_COVID_19","8.8",8.8
"HCP_COVID_19","0.7",0.7
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.1",0.1
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19","0.8",0.8
"HCP_COVID_19","3.9",3.9
"HCP_COVID_19","64",64
"HCP_COVID_19","0.5",0.5
"HCP_COVID_19","0.2",0.2
"HCP_COVID_19","0.1",0.1
"HCP_COVID_19","0.9",0.9
"HCP_COVID_19","2.1",2.1
"HCP_COVID_19","78.8",78.8
"HCP_COVID_19","65",65
"HCP_COVID_19","0.5",0.5
"HCP_COVID_19","42.4",42.4
"HCP_COVID_19","0.6",0.6
"HCP_COVID_19","3.7",3.7
"HCP_COVID_19","2.6",2.6
"HCP_COVID_19","35.7",35.7
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","86.6",86.6
"HCP_COVID_19",NA,NA
"HCP_COVID_19","2.3",2.3
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19","0.5",0.5
"HCP_COVID_19","0.7",0.7
"HCP_COVID_19","4.5",4.5
"HCP_COVID_19","0.2",0.2
"HCP_COVID_19",NA,NA
"HCP_COVID_19","30.3",30.3
"HCP_COVID_19","84.9",84.9
"HCP_COVID_19","0.6",0.6
"HCP_COVID_19","2.3",2.3
"HCP_COVID_19",NA,NA
"HCP_COVID_19","2.1",2.1
"HCP_COVID_19","5.4",5.4
"HCP_COVID_19","0.6",0.6
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.8",0.8
"HCP_COVID_19","12",12
"HCP_COVID_19","0.5",0.5
"HCP_COVID_19",NA,NA
"HCP_COVID_19","0.3",0.3
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","86.5",86.5
"HCP_COVID_19",NA,NA
"HCP_COVID_19","3",3
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","4.8",4.8
"HCP_COVID_19","10.7",10.7
"HCP_COVID_19","21.8",21.8
"HCP_COVID_19","15",15
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19","15.3",15.3
"HCP_COVID_19","5.6",5.6
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
"HCP_COVID_19",NA,NA
