"Measure.ID","Score","Score_numeric"
"OP_18c",NA,NA
"OP_18c","226",226
"OP_18c",NA,NA
"OP_18c","184",184
"OP_18c","115",115
"OP_18c",NA,NA
"OP_18c","320",320
"OP_18c","341",341
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","199",199
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","216",216
"OP_18c","251",251
"OP_18c","290",290
"OP_18c",NA,NA
"OP_18c","772",772
"OP_18c",NA,NA
"OP_18c","309",309
"OP_18c","330",330
"OP_18c","120",120
"OP_18c",NA,NA
"OP_18c","168",168
"OP_18c","157",157
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","301",301
"OP_18c",NA,NA
"OP_18c","205",205
"OP_18c","100",100
"OP_18c","256",256
"OP_18c","139",139
"OP_18c","431",431
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","190",190
"OP_18c","291",291
"OP_18c","165",165
"OP_18c",NA,NA
"OP_18c","308",308
"OP_18c",NA,NA
"OP_18c","211",211
"OP_18c","370",370
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","356",356
"OP_18c","124",124
"OP_18c","210",210
"OP_18c","200",200
"OP_18c","459",459
"OP_18c",NA,NA
"OP_18c","192",192
"OP_18c","185",185
"OP_18c","235",235
"OP_18c",NA,NA
"OP_18c","218",218
"OP_18c","102",102
"OP_18c","139",139
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","245",245
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","465",465
"OP_18c",NA,NA
"OP_18c","268",268
"OP_18c","128",128
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","300",300
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","204",204
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","205",205
"OP_18c","265",265
"OP_18c","196",196
"OP_18c","266",266
"OP_18c","182",182
"OP_18c",NA,NA
"OP_18c","262",262
"OP_18c","304",304
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c",NA,NA
"OP_18c","255",255
"OP_18c","145",145
"OP_18c",NA,NA
"OP_18c","207",207
"OP_18c","222",222
"OP_18c",NA,NA
"OP_18c",NA,NA
