"Measure.ID","Score","Score_numeric"
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","90",90
"VTE_2","91",91
"VTE_2","93",93
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","78",78
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","79",79
"VTE_2","85",85
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","93",93
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","94",94
"VTE_2","72",72
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","73",73
"VTE_2","97",97
"VTE_2","96",96
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","88",88
"VTE_2","33",33
"VTE_2","83",83
"VTE_2",NA,NA
"VTE_2","96",96
"VTE_2","89",89
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","43",43
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2","72",72
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","40",40
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","82",82
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","91",91
"VTE_2",NA,NA
"VTE_2","85",85
"VTE_2","94",94
"VTE_2","96",96
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","88",88
"VTE_2","79",79
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","95",95
"VTE_2","81",81
"VTE_2","86",86
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","90",90
"VTE_2","99",99
"VTE_2","99",99
"VTE_2","95",95
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","91",91
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","83",83
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","91",91
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","96",96
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","78",78
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","92",92
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","95",95
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","91",91
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","84",84
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","90",90
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","90",90
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","94",94
"VTE_2","90",90
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","94",94
"VTE_2","98",98
"VTE_2","99",99
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","75",75
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","91",91
"VTE_2","99",99
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","78",78
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","96",96
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","95",95
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","97",97
"VTE_2","96",96
"VTE_2","97",97
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","83",83
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","91",91
"VTE_2",NA,NA
"VTE_2","96",96
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","93",93
"VTE_2","98",98
"VTE_2","90",90
"VTE_2","97",97
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","96",96
"VTE_2",NA,NA
"VTE_2","95",95
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","91",91
"VTE_2","96",96
"VTE_2",NA,NA
"VTE_2","92",92
"VTE_2","99",99
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","90",90
"VTE_2","94",94
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","98",98
"VTE_2","98",98
"VTE_2","99",99
"VTE_2","97",97
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","99",99
"VTE_2","94",94
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","50",50
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","79",79
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","95",95
"VTE_2","98",98
"VTE_2","80",80
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","91",91
"VTE_2","97",97
"VTE_2","99",99
"VTE_2","97",97
"VTE_2","99",99
"VTE_2","100",100
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2","100",100
"VTE_2","100",100
"VTE_2","92",92
"VTE_2",NA,NA
"VTE_2","91",91
"VTE_2","94",94
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2","66",66
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","98",98
"VTE_2","74",74
"VTE_2","98",98
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","98",98
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2","98",98
"VTE_2","97",97
"VTE_2","96",96
"VTE_2","93",93
"VTE_2","99",99
"VTE_2","96",96
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","99",99
"VTE_2","100",100
"VTE_2","100",100
"VTE_2","93",93
"VTE_2","99",99
"VTE_2","100",100
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2","97",97
"VTE_2","90",90
"VTE_2","99",99
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","99",99
"VTE_2","93",93
"VTE_2","100",100
"VTE_2",NA,NA
"VTE_2","100",100
"VTE_2","88",88
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","90",90
"VTE_2",NA,NA
"VTE_2",NA,NA
"VTE_2","76",76
"VTE_2","100",100
