"facility_id","target","EDV","HCP_COVID_19","IMM_3","OP_18b","OP_18c","OP_22","OP_29","SAFE_USE_OF_OPIOIDS","SEP_1","SEV_SEP_3HR","SEV_SEP_6HR","ed_flow_pc1","prevention_pc1"
"010001",0.9483,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010001",0.9509,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010001",1.0597,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010001",0.9654,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010001",0.9715,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010001",0.933,3,0.3,96,215,NA,5,72,12,67,78,100,-1.64859003383187,0.116926451358032
"010005",0.8497,3,0.2,72,139,226,3,100,16,74,85,100,-0.295541337361882,-0.46144963496922
"010005",0.9935,3,0.2,72,139,226,3,100,16,74,85,100,-0.295541337361882,-0.46144963496922
"010005",0.8495,3,0.2,72,139,226,3,100,16,74,85,100,-0.295541337361882,-0.46144963496922
"010005",0.8696,3,0.2,72,139,226,3,100,16,74,85,100,-0.295541337361882,-0.46144963496922
"010006",0.9463,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010006",0.9666,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010006",0.9704,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010006",1.0846,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010006",1.0112,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010006",0.9762,3,0.5,66,156,NA,1,86,16,62,80,94,-0.239442492432489,-0.448986222106437
"010007",1.0277,1,0,26,113,184,2,65,NA,11,61,NA,1.33610111683685,-0.315177531283255
"010007",1.0674,1,0,26,113,184,2,65,NA,11,61,NA,1.33610111683685,-0.315177531283255
"010007",0.9695,1,0,26,113,184,2,65,NA,11,61,NA,1.33610111683685,-0.315177531283255
"010007",1.0488,1,0,26,113,184,2,65,NA,11,61,NA,1.33610111683685,-0.315177531283255
"010011",1.012,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010011",0.9675,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010011",0.9541,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010011",1.0589,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010011",1.0439,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010011",1.1146,3,NA,NA,203,NA,2,83,17,65,81,96,-0.987638256343518,-0.521648713226454
"010012",0.9055,1,0.3,59,164,320,3,99,14,93,94,100,0.0589085132908631,-0.16550089788546
"010012",1.0505,1,0.3,59,164,320,3,99,14,93,94,100,0.0589085132908631,-0.16550089788546
"010012",0.9685,1,0.3,59,164,320,3,99,14,93,94,100,0.0589085132908631,-0.16550089788546
"010012",1.0044,1,0.3,59,164,320,3,99,14,93,94,100,0.0589085132908631,-0.16550089788546
"010012",1.0125,1,0.3,59,164,320,3,99,14,93,94,100,0.0589085132908631,-0.16550089788546
"010016",1.0434,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010016",1.0792,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010016",0.9794,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010016",1.1477,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010016",1.0005,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010016",1.0186,2,9.4,80,199,341,4,NA,18,76,85,96,-1.11259622931931,-0.406353655731031
"010019",0.9039,2,0,75,190,NA,4,99,17,76,87,92,-0.673948683535162,-0.614387273280844
"010019",0.9294,2,0,75,190,NA,4,99,17,76,87,92,-0.673948683535162,-0.614387273280844
"010019",1.0188,2,0,75,190,NA,4,99,17,76,87,92,-0.673948683535162,-0.614387273280844
"010019",1.0441,2,0,75,190,NA,4,99,17,76,87,92,-0.673948683535162,-0.614387273280844
"010021",0.9912,1,0,57,125,199,2,83,10,59,85,93,1.13585693574437,0.40289220408567
"010021",1.058,1,0,57,125,199,2,83,10,59,85,93,1.13585693574437,0.40289220408567
"010021",1.0522,1,0,57,125,199,2,83,10,59,85,93,1.13585693574437,0.40289220408567
"010022",0.9728,1,2.5,62,129,NA,1,NA,20,NA,NA,NA,1.0850620253883,-0.952217352705301
"010023",1.038,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
"010023",1.1302,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
"010023",1.0023,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
"010023",0.9825,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
